ticker,episode_id,start_time,end_time,duration,direction,total_return,pullback_pct,lr_slope_5,lr_slope_5_norm,avg_volume,max_volume,avg_rsi,avg_volatility,obv_change,avg_vwap,price_start,price_end,price_delta,rsi_start,rsi_end,vwap_start,vwap_end,obv_start,obv_end,ema_start,ema_end,bb_upper_start,bb_upper_end,bb_middle_start,bb_middle_end,bb_lower_start,bb_lower_end,cluster,regime_label
NVDA,NVDA_2024-03-25T04:00:00_2024-04-19T04:00:00,2024-03-25T04:00:00,2024-04-19T04:00:00,19,down,-0.19791162291320186,,-5.540228070175438,-0.0058316962486846995,46762725.473684214,87519800,44.7817126693826,0.04209629934950215,-239529020,410.2415056993433,950.02,762,-188.01999999999998,64.58635938155643,28.53635619676902,399.3697532073824,420.50628569368024,2875508293,2635979273,893.034427072357,856.7021287750213,972.7640144914802,960.7473806708773,875.5797499999999,880.9,778.3954855085195,801.0526193291226,2,Moderate/Sideways regime
NVDA,NVDA_2024-04-19T04:00:00_2024-06-05T04:00:00,2024-04-19T04:00:00,2024-06-05T04:00:00,33,up,0.6068241469816273,,11.795260695187167,0.015479344744340115,45967904.515151516,87519800,62.51270027382142,0.03824617578176757,447326773,437.4836271271088,762,1224.4,462.4000000000001,28.53635619676902,82.06281128942999,420.50628569368024,459.59236475788356,2635979273,3083306046,856.7021287750213,1080.4521882737724,960.7473806708773,1229.8572083947615,880.9,1015.1899999999999,801.0526193291226,800.5227916052384,2,Moderate/Sideways regime
NVDA,NVDA_2024-06-05T04:00:00_2024-06-11T04:00:00,2024-06-05T04:00:00,2024-06-11T04:00:00,5,down,-0.90124959163672,,-329.517,-0.26912528585429596,139452440.2,314162666,57.89583523073706,0.16268457392014854,-644422023,459.6693972018722,1224.4,120.91,-1103.49,82.06281128942999,21.984541803725307,459.59236475788356,454.6926816872679,3083306046,2438884023,1080.4521882737724,865.8386700106117,1229.8572083947615,1569.4988875104107,1015.1899999999999,968.5500000000002,800.5227916052384,367.6011124895897,3,Crash regime
NVDA,NVDA_2024-06-11T04:00:00_2024-06-18T04:00:00,2024-06-11T04:00:00,2024-06-18T04:00:00,6,up,0.12132991481267075,,2.6560000000000006,0.021966752129683242,279168428.3333333,309320376,16.740403477568243,0.03275137021596849,875450524,443.7967579326296,120.91,135.58,14.670000000000016,21.984541803725307,11.049655755990628,454.6926816872679,433.3090756603743,2438884023,3314334547,865.8386700106117,490.4356224582717,1569.4988875104107,1716.1472553009635,968.5500000000002,767.4105,367.6011124895897,-181.32625530096345,2,Moderate/Sideways regime
NVDA,NVDA_2024-06-18T04:00:00_2024-06-24T04:00:00,2024-06-18T04:00:00,2024-06-24T04:00:00,4,down,-0.12885381324679168,,-5.662000000000004,-0.041761321728868595,485912252.25,655484664,10.321813292335971,0.057978219762894294,-1649313955,422.34776532357154,135.58,118.11,-17.470000000000013,11.049655755990628,7.4243086901628175,433.3090756603743,411.8471721479139,3314334547,1665020592,490.4356224582717,362.7266674195031,1716.1472553009635,1665.5418756559093,767.4105,639.1160000000001,-181.32625530096345,-387.3098756559092,2,Moderate/Sideways regime
NVDA,NVDA_2024-06-24T04:00:00_2024-07-10T04:00:00,2024-06-24T04:00:00,2024-07-10T04:00:00,12,up,0.14224028448056902,,0.9328671328671321,0.00789829085485676,294944049.8333333,476060866,30.841773571229652,0.038205683748685305,1062881416,393.47071188953345,118.11,134.91,16.799999999999997,7.4243086901628175,49.304257528556576,411.8471721479139,379.16985116758474,1665020592,2727902008,362.7266674195031,176.73332219528714,1665.5418756559093,136.05843265489113,639.1160000000001,127.26049999999998,-387.3098756559092,118.46256734510882,2,Moderate/Sideways regime
NVDA,NVDA_2024-07-10T04:00:00_2024-07-30T04:00:00,2024-07-10T04:00:00,2024-07-30T04:00:00,15,down,-0.23111704099028973,,-1.7262142857142857,-0.012795302688564863,298402352.26666665,486833274,43.47257256238628,0.04693935045288399,-1976800553,361.66944244410456,134.91,103.73,-31.179999999999993,49.304257528556576,21.043833580980703,379.16985116758474,343.48859026696516,2727902008,751101455,176.73332219528714,123.7635924020688,136.05843265489113,137.54605545514974,127.26049999999998,122.03799999999998,118.46256734510882,106.52994454485024,0,Deep Downtrend regime
NVDA,NVDA_2024-07-30T04:00:00_2024-07-31T04:00:00,2024-07-30T04:00:00,2024-07-31T04:00:00,2,up,0.12812108358237717,,13.289999999999992,0.12812108358237725,480003728,486833274,31.169350537555093,0.07742584276129491,473174182,341.7834306219481,103.73,117.02,13.289999999999992,21.043833580980703,41.294867494129484,343.48859026696516,340.0782709769311,751101455,1224275637,123.7635924020688,122.86444674845963,137.54605545514974,137.41234320033897,122.03799999999998,121.75550000000001,106.52994454485024,106.09865679966107,0,Deep Downtrend regime
NVDA,NVDA_2024-07-31T04:00:00_2024-08-07T04:00:00,2024-07-31T04:00:00,2024-08-07T04:00:00,6,down,-0.1547598701076739,,-3.2071428571428564,-0.0274067924896843,475326476.5,552842375,35.95464616098149,0.09200528688258763,-1560760499,331.32906997179737,117.02,98.91,-18.11,41.294867494129484,33.96008099508242,340.0782709769311,323.4742099063997,1224275637,-336484862,122.86444674845963,112.89411140289823,137.41234320033897,133.6770520792851,121.75550000000001,115.32999999999997,106.09865679966107,96.98294792071485,0,Deep Downtrend regime
NVDA,NVDA_2024-08-07T04:00:00_2024-08-19T04:00:00,2024-08-07T04:00:00,2024-08-19T04:00:00,9,up,0.31432615509048634,,3.807833333333334,0.03849796110942608,334517518,411440423,49.003220313447656,0.051029208022980777,2017528925,315.5972596159359,98.91,130,31.090000000000003,33.96008099508242,68.62328087338722,323.4742099063997,308.6623100049768,-336484862,1681044063,112.89411140289823,117.11687509677495,133.6770520792851,128.80981698470686,115.32999999999997,112.25050000000002,96.98294792071485,95.69118301529319,1,Strong Uptrend regime
